ResponseID,ResponseSet,Name,Repeated Study,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Mturk,track,track_2,Consent Form /    /  /  Study Background and Purpose: This study examines decision-making. Your participat...,mcyes,mcyesconfidence,mcyesfirst,mcyeslast,mcyestotaltime,mcyesclickcount,mcno,mcnoconfidence,mcnofirst,mcnolast,mcnototaltime,mcnoclickcount,optyes,optyesconfidence,optyesfirst,optyeslast,optyestotaltime,optyesclickcount,optno,optnoconfidence,optnofirst,optnolast,optnototaltime,optnoclickcount,This is the last page of questions. Please answer them all.,Are you registered as an organ donor on a state or regional registry? ,Have you communicated with your next of kin about whether or not you would like to be an organ donor...,"If you have communicated with your next of kin about organ donation, what have you communicated?","If you had to explicitly communicate with your next of kin about your wishes, which would you indica...",What is your gender?,What is your age?,Which of the following best describes your race/ethnicity?,What is the highest educational degree you have earned?,Are you currently a student?,What is your marital status?,How many children do you have?,What is your total household income? (Please include your parents if you are listed as a dependent.),With which religious affiliation do you most closely identify?,"About how often do you attend religious services (excluding occasional weddings, funerals, etc.)?","Generally speaking, do you think of yourself as a Republican, a Democrat, or an Independent?","When it comes to social issues, do you think of yourself as a liberal or conservative?",In which US State do you live?,"Have you, or has anyone else in your family, received an organ transplant?","Have you, or has anyone else in your family, received dialysis treatment?","Have you, or has anyone else in your family, worked in health care?","If there were an option to be registered as an organ and tissue donor, but for your donor status to...",How many vital organs (organs that are necessary to live) can be transplanted from a cadaver? Please...,About how many people can receive any (vital or non-vital) organs and tissues from one cadaver? Plea...,About how many people are on the organ waiting list for a kidney in the Untied States? Please make y...,Do you think deceased donor organs are allocated fairly overall? ,Do you think deceased donor organs are allocated fairly to people of different races? ,Do you think deceased donor organs are allocated fairly to people with different incomes? ,Do you think deceased donor organs are allocated fairly to people with differential responsibility f...,surveyfirst,surveylast,surverytotaltime,surveyclickcount,Thank you for completing this survey. Your code for payment on MTurk is ${e://Field/Mturk}-111212101...
R_e978PDaeLnpreOp,Default Response Set,Anonymous,,,,0,1/8/13 4:57,1/8/13 5:00,1,3482578,38,7,1,1,1,7.013,10.597,10.605,3,2,1,14.857,19.297,19.304,3,1,1,5.047,7.686,7.693,3,2,1,5.974,16.446,16.454,3,1,2,2,,2,2,44,5,4,3,1,1,10,1,4,5,3,IL,2,2,2,2,5,5,100000,2,,2,2,2.371,113.487,113.577,30,1
R_cJ5VOvvfR3a1kMt,Default Response Set,Anonymous,,,,0,1/8/13 5:04,1/8/13 5:06,1,993118,86,20,1,1,1,2.521,4.737,4.738,3,2,1,4.302,11.359,11.361,4,1,1,11.292,15.132,15.133,5,1,1,5.484,21.413,21.414,4,1,1,1,1,1,1,39,5,5,3,1,2,10,8,5,3,3,MAryland,2,2,1,2,10,50,"50,000",1,1,1,1,1.875,80.035,80.036,31,1
R_4NNVvyuE0UgkKNf,Default Response Set,Anonymous,,,,0,1/8/13 5:09,1/8/13 5:13,1,4797303,14,60,1,1,2,47.384,52.272,52.273,3,2,2,6.628,12.533,12.537,3,1,2,17.085,19.525,19.527,3,2,2,11.363,15.634,15.636,3,1,2,1,2,2,2,38,5,3,3,3,1,4,4,4,2,6,pa,2,2,2,2,10,10,1000,1,1,1,1,4.096,122.199,122.2,29,1
R_8II0k1LbxecWpff,Default Response Set,Anonymous,,,,0,1/8/13 5:02,1/8/13 5:16,1,2490148,42,44,1,1,2,,,,,2,1,,,,,1,3,1.088,3.09,3.117,3,1,2,8.571,11.336,11.372,4,1,2,2,2,2,1,23,5,3,1,2,0,1,3,4,4,3,ILLINOIS,2,2,2,2,2,2,2,1,2,2,1,1.056,53.386,53.532,49,1
R_afUd5hbOs9prZHf,Default Response Set,Anonymous,,,,0,1/8/13 5:17,1/8/13 5:20,1,5644841,40,62,1,1,1,5.14,10.316,10.317,3,2,2,32.858,36.026,36.027,3,1,1,3.385,6.201,6.202,4,2,1,13.093,16.613,16.614,3,1,1,1,1,1,2,25,6,4,3,2,0,1,8,5,5,1,Louisiana,2,2,1,2,10,50,10000,2,2,2,2,3.294,103.642,103.643,30,1
R_71FLaX8FiOfq9RH,Default Response Set,Anonymous,,,,0,1/8/13 5:18,1/8/13 5:21,1,6007803,20,32,1,1,1,1.257,32.685,32.691,4,2,1,5.558,9.341,9.347,3,1,1,5.606,13.803,5.473,6,2,1,3.437,7.701,7.707,5,1,2,1,2,2,1,23,5,2,3,2,0,2,8,5,5,3,CA,2,1,2,2,25,25,1000000,2,2,2,2,7.426,119.722,119.736,33,1
R_cA6BXnJ8t1qBoNL,Default Response Set,Anonymous,,,,0,1/8/13 5:19,1/8/13 5:23,1,8517425,47,83,1,1,1,11.439,14.885,14.886,3,1,2,25.02,32.219,32.22,4,1,1,2.593,8.567,8.568,3,1,1,2.512,6.724,6.726,4,1,1,1,1,1,1,26,2,2,3,2,0,4,1,4,2,6,Florida,2,2,1,2,5,50,"50,000",1,1,1,1,2.233,137.171,137.174,34,1
R_8xqAT8nVvhYXWgR,Default Response Set,Anonymous,,,,0,1/8/13 5:19,1/8/13 5:24,1,5831613,35,35,1,1,1,18.205,20.881,20.882,3,1,2,75.641,81.075,81.075,4,1,1,24.572,28.948,28.949,3,1,1,27.146,36.276,36.276,3,1,1,1,1,1,2,18,2,3,1,2,0,11,8,,6,2,NY,2,2,2,1,11,"50,000,000","50,000",1,2,2,2,3.557,154.879,154.88,36,1
R_aXkILw5K0pqBGRL,Default Response Set,Anonymous,,,,0,1/8/13 5:27,1/8/13 5:34,1,4259604,33,22,1,1,2,13.743,31.796,31.812,3,2,1,41.618,67.081,67.086,3,1,2,28.495,33.598,33.601,3,2,1,27.404,32.715,32.719,3,1,2,2,1,1,2,54,5,2,3,2,0,2,3,4,6,3,NJ,2,,1,1,30,50,"20,000",1,1,2,2,6.292,200.867,200.868,29,1
R_3NQUNJJs2RpvnxP,Default Response Set,Anonymous,,,,0,1/8/13 5:30,1/8/13 5:34,1,7859647,33,95,1,1,1,9.876,16.225,16.232,3,2,1,23.442,29.13,29.137,3,1,1,5.202,8.517,8.525,3,2,1,7.462,11.779,11.785,3,1,1,1,1,1,2,33,,4,3,1,1,6,8,5,7,2,Tennessee,2,2,1,2,12,15,100000,1,1,2,1,3.42,132.753,132.77,29,1
R_88615QxI1Q1Q0bH,Default Response Set,Anonymous,,,,0,1/8/13 5:32,1/8/13 5:38,1,3052730,24,91,1,2,3,50.671,55.095,55.097,3,2,1,16.201,23.857,23.86,4,1,1,9.36,15.856,15.858,3,2,1,4.556,15.892,15.895,4,1,2,2,2,2,1,69,5,3,3,1,3,4,2,4,3,5,Michigan,2,2,2,2,10,50,1000,2,1,2,2,8.966,165.449,165.457,29,1
R_8kqg6VSorIXoSZT,Default Response Set,Anonymous,,,,0,1/8/13 5:34,1/8/13 5:39,1,9989004,68,78,1,1,1,13.075,19.107,19.108,3,2,1,11.463,13.861,13.862,4,1,2,56.77,63.233,63.235,5,2,1,6.105,9.888,9.891,3,1,2,2,2,2,2,42,5,3,3,3,3,8,4,3,6,2,michigan,2,2,1,2,3,1,742,1,1,1,1,4.848,134.619,134.623,31,1
R_6zq4QET7AeKb6Ul,Default Response Set,Anonymous,,,,0,1/8/13 5:36,1/8/13 5:40,1,7966394,18,27,1,1,1,41.077,49.485,49.485,3,2,1,23.572,27.581,27.581,3,1,1,7.145,12.215,12.215,3,2,3,5.585,11.326,11.326,3,1,1,1,1,1,1,25,5,3,3,1,2,6,8,5,6,1,Illinois,2,2,2,2,5,12,"125,000",1,1,1,1,3.292,110.168,110.168,31,1
R_dcVJo7ZwNDzRqnz,Default Response Set,Anonymous,,,,0,1/8/13 5:37,1/8/13 5:41,1,7295936,66,24,1,1,1,4.627,6.883,6.886,3,2,2,4.19,6.509,6.513,3,1,1,30.232,36.56,36.563,3,2,3,17.207,20.062,20.066,3,1,1,1,1,1,2,26,5,2,3,1,2,2,8,5,5,1,Pennsylvania,2,2,1,1,10,50,10000,1,1,1,1,6.929,101.264,101.269,30,1
R_4ZyUZpm0tRJUowR,Default Response Set,Anonymous,,,,0,1/8/13 5:37,1/8/13 5:44,1,7774385,39,22,1,1,3,13.396,21.132,21.134,3,2,3,1.876,70.611,70.612,13,1,3,3.679,7.342,7.344,3,2,3,1.337,24.201,24.204,4,1,1,1,1,1,2,65,5,5,3,1,2,2,2,4,5,5,oklahoma,2,2,2,1,10,10,"120,000",1,1,1,1,4.47,268.368,268.37,34,1
R_88EC67Zq70hlyOV,Default Response Set,Anonymous,,,,0,1/8/13 5:43,1/8/13 5:48,1,1728836,16,53,1,1,1,13.098,15.761,15.765,3,1,2,23.363,28.851,28.857,4,1,1,0.848,6.84,6.843,4,1,2,8.364,13.245,13.251,3,1,1,2,,1,1,28,5,5,1,2,0,3,8,5,4,1,Pennsylvania,2,2,1,2,5,20,10000,2,2,2,2,3.472,133.748,133.763,30,1
R_8CGICc8LcyDywst,Default Response Set,Anonymous,,,,0,1/8/13 5:22,1/8/13 5:48,1,1207571,78,81,1,1,1,3.698,6.32,6.325,3,2,1,6.269,11.054,11.059,3,1,1,15.645,19.001,19.006,3,2,1,31.36,36.931,36.936,3,1,2,2,,2,1,59,6,4,3,1,0,11,3,5,7,1,Florida,2,2,2,2,7,7,20000000,1,1,1,1,4.815,105.794,105.8,28,1
R_eR5CbrQ0nj5WEv3,Default Response Set,Anonymous,,,,0,1/8/13 5:48,1/8/13 5:55,1,7751340,3,32,1,1,1,31.076,58.876,59.375,3,2,1,8.917,14.486,15.001,3,1,1,28.063,41.026,41.541,3,2,1,6.849,15.351,15.835,3,1,1,1,1,1,1,21,5,3,3,2,0,11,8,5,4,2,South Carolina,2,2,1,1,10,7,"400,000",1,1,1,1,4.233,241.463,241.899,34,1
R_7U1WtFQqO60PkTX,Default Response Set,Anonymous,,,,0,1/8/13 5:53,1/8/13 5:58,1,8334704,95,39,1,1,1,7.614,13.23,13.232,4,2,1,12.722,16.61,16.612,3,1,1,14.946,18.874,18.876,3,2,2,50.337,56.817,56.819,3,1,2,2,,1,2,46,5,3,3,2,1,4,8,5,6,2,MN,2,2,1,1,5,5,500,2,1,2,1,4.225,137.92,137.922,29,1
R_dm7V31D4ckIwQwR,Default Response Set,Anonymous,,,,0,1/8/13 5:48,1/8/13 5:58,1,8129190,64,73,1,1,1,1.887,35.669,35.669,35,2,1,1.546,22.207,22.208,14,1,1,1.021,80.172,80.174,33,2,2,11.373,63.34,63.342,36,1,2,1,1,1,1,34,6,4,2,2,0,2,8,5,5,3,Oregon,1,1,1,2,3,50,"100,000",1,1,2,1,1.922,290.078,290.079,88,1
R_09s9G7RHs1DSI97,Default Response Set,Anonymous,,,,0,1/8/13 5:49,1/8/13 6:01,1,1264368,24,20,1,1,2,246.91,270.19,270.301,5,2,3,8.966,16.434,16.529,3,1,2,10.86,25.021,25.104,4,1,2,87.119,91.518,91.589,3,1,1,1,2,1,2,46,2,3,3,1,3,5,1,4,6,5,Maryland,1,2,1,2,3,50,"50,000",1,2,2,1,3.881,231.647,231.811,34,1
R_3yFEBLXhDiJ7s8d,Default Response Set,Anonymous,,,,0,1/8/13 5:59,1/8/13 6:01,1,4630788,78,100,1,1,1,2.839,4.823,4.836,3,2,1,0.329,7.754,7.768,5,1,1,2.074,8.005,8.018,4,2,3,3.479,18.296,18.309,4,1,1,2,1,1,1,25,5,3,3,2,0,1,4,4,4,5,Florida,2,2,1,1,22,33,12345,1,1,1,1,1.97,93.597,93.634,37,1
R_0iZ4nxGeROvRo9L,Default Response Set,Anonymous,,,,0,1/8/13 6:00,1/8/13 6:05,1,780371,13,92,1,1,1,25.51,43.112,43.116,3,1,1,3.976,15.143,15.146,3,1,1,13.706,17.862,17.867,3,1,1,4.328,6.768,6.771,3,1,1,1,1,1,1,30,6,5,3,1,0,10,1,4,5,2,MA,2,2,1,2,15,50,25000,1,1,1,1,2.608,136.545,136.551,34,1
R_eDTnMjMFaHpAwa9,Default Response Set,Anonymous,,,,0,1/8/13 6:08,1/8/13 6:10,1,3203637,20,30,1,1,1,23.971,27.641,27.651,3,2,1,4.59,7.984,7.988,3,1,1,4.365,8.292,8.302,3,2,1,4.953,7.345,7.353,3,1,1,1,1,1,2,38,5,3,3,1,2,3,7,4,5,4,Ohio,2,2,1,2,6,6,30000,1,1,1,1,2.956,90.994,91.02,30,1
R_8vUKTNXHNVRsNtH,Default Response Set,Anonymous,,,,0,1/8/13 6:09,1/8/13 6:13,1,764689,45,7,1,2,3,6.756,9.126,9.129,4,1,2,97.926,114.77,114.771,5,2,3,1.171,5.389,5.391,5,2,1,5.951,9.338,9.339,5,1,2,2,2,2,1,19,1,3,1,2,0,2,8,5,2,6,california,2,2,2,2,5,5,10000,1,1,2,2,3.635,97.8,97.807,40,1
R_cArOvY91GRY6ELj,Default Response Set,Anonymous,,,,0,1/8/13 6:08,1/8/13 6:13,1,8275613,51,100,1,1,1,17.928,21.299,21.308,3,2,1,8.252,17.685,17.695,3,1,1,30.357,37.598,37.607,3,2,1,13.785,26.083,26.092,3,1,2,1,2,2,2,66,5,4,3,2,0,5,8,5,5,3,Texas,2,2,1,2,10,50,100000,2,2,2,2,3.182,198.727,198.749,30,1
R_beJX8I4UJSX8hs9,Default Response Set,Anonymous,,,,0,1/8/13 6:09,1/8/13 6:15,1,9424021,31,71,1,1,1,22.364,27.19,27.193,3,2,1,51.577,63.503,63.505,4,1,1,13.108,19.52,19.523,3,2,1,41.106,44.281,44.285,3,1,1,1,1,1,1,43,6,3,3,1,3,3,3,4,4,3,Florida,2,2,2,1,10,50,"10,000",2,2,2,1,6.411,191.014,191.016,39,1
R_cYIPU8CSDuAlViJ,Default Response Set,Anonymous,,,,0,1/8/13 6:15,1/8/13 6:20,1,8856182,38,97,1,1,2,7.114,13.205,13.208,3,2,2,22.552,35.902,35.905,3,1,2,7.925,13.574,13.577,3,2,2,11.168,17.011,17.013,3,1,1,2,,1,1,33,5,4,3,1,1,7,3,4,3,4,Ohio,2,2,1,1,8,22,5000,2,1,2,2,4.226,188.745,188.748,30,1
R_5gTpJdy5TpGSOOh,Default Response Set,Anonymous,,,,0,1/8/13 6:17,1/8/13 6:24,1,8213774,39,27,1,1,1,7.024,17.279,17.281,3,2,1,35.246,88.007,88.009,5,1,1,10.545,19.224,19.227,3,2,2,25.451,28.483,28.485,3,1,2,1,1,1,2,48,5,4,3,2,2,2,3,5,4,3,Florida,2,2,2,1,3,4,"10,000",1,1,1,1,3.721,186.615,186.619,30,1
R_8hKLd1tPoE9udI9,Default Response Set,Anonymous,,,,0,1/8/13 6:27,1/8/13 6:36,1,8140664,21,68,1,1,1,39.594,52.363,52.364,3,2,1,27.273,32.787,32.789,3,1,1,23.442,31.107,31.109,3,2,1,27.517,34.214,34.216,3,1,1,1,1,1,1,50,5,5,3,1,1,4,7,5,6,2,Louisiana,2,2,2,2,50,50,10000,1,1,2,1,4.998,316.374,316.377,36,1
R_2gJzj7U0RzfmXJj,Default Response Set,Anonymous,,,,0,1/8/13 6:40,1/8/13 6:44,1,9555821,12,1,1,1,1,23.704,35.726,35.736,4,2,1,14.348,17.048,17.055,3,1,1,11.393,15.833,15.843,3,2,1,8.975,15.348,15.359,3,1,1,1,1,1,2,43,5,5,3,1,1,7,4,5,6,2,Florida,2,2,2,2,5,50,1000000,1,1,1,1,2.916,129.533,129.556,29,1
R_bejSE4R4TTIjyqF,Default Response Set,Anonymous,,,,0,1/8/13 6:41,1/8/13 6:49,1,8540059,94,34,1,1,2,12.877,32.437,14.734,11,2,2,40.849,43.74,43.742,3,1,3,11.495,19.262,19.265,4,2,3,85.416,93.481,93.484,3,1,2,2,1,1,1,43,1,5,3,1,0,11,3,5,4,3,Texas,1,1,1,1,10,10,100000,2,2,2,2,1.165,239.446,239.449,69,1
R_cS0dgYT9tL5JLXT,Default Response Set,Anonymous,,,,0,1/8/13 6:45,1/8/13 6:50,1,2456352,41,18,1,1,1,6.946,16.793,16.796,3,2,1,33.854,40.926,40.928,4,1,1,6.031,8.567,8.57,4,2,1,15.779,19.219,19.221,3,1,1,1,1,1,1,33,5,3,3,1,1,4,2,5,7,2,Arkansas,2,2,1,2,5,50,5 million,1,1,1,1,4.411,133.413,133.418,30,1
R_88Qpqg4HFSs6LYN,Default Response Set,Anonymous,,,,0,1/8/13 6:48,1/8/13 6:55,1,8138193,43,13,1,1,1,6.063,13.84,13.845,3,2,3,72.14,91.205,91.21,3,1,1,9.025,27.81,27.815,3,2,2,12.264,40.76,40.765,4,1,1,1,1,1,2,36,5,2,3,1,4,3,8,5,2,2,Georgia,2,2,2,1,10,50,10000,1,1,2,1,6.19,216.255,216.265,30,1
R_42vZ20hzT1SRdB3,Default Response Set,Anonymous,,,,0,1/8/13 6:50,1/8/13 7:00,1,3099197,81,19,1,1,1,34.16,39.65,39.65,3,2,1,28.89,33.23,33.23,3,1,1,27.41,46.58,46.58,3,2,1,71.4,86.07,86.07,3,1,1,1,1,1,1,45,5,4,3,2,1,4,3,1,2,4,Pennsylvania,2,2,1,2,5,5,5000,1,1,1,1,42.85,221.3,221.3,34,1
R_a5xC37MybmL2mUZ,Default Response Set,Anonymous,,,,0,1/8/13 6:54,1/8/13 7:03,1,3818685,16,48,1,1,3,52.667,58.512,58.514,3,2,3,17.264,25.217,25.218,3,1,3,50.244,53.916,53.918,3,2,4,25.387,57.508,57.511,3,1,2,1,1,1,2,62,5,4,3,1,2,7,2,2,6,3,IOWA,2,2,1,2,4,50,1500,2,2,2,1,5.733,278.78,278.781,37,1
R_5u23krnUHCj9nnL,Default Response Set,Anonymous,,,,0,1/8/13 6:58,1/8/13 7:04,1,6317261,70,66,1,1,1,7.27,14.807,14.812,4,2,1,3.832,13.335,13.343,3,1,1,33.731,54.983,54.997,4,2,3,13.432,18.311,18.328,3,1,1,1,1,1,1,24,5,3,3,2,0,5,8,5,5,5,Texas,2,2,1,2,5,7,"30,000",1,1,1,1,0.978,164.399,164.427,36,1
R_41kOiFS5T0g5kHP,Default Response Set,Anonymous,,,,0,1/8/13 6:59,1/8/13 7:04,1,8898475,44,73,1,1,1,13.773,19.971,20.04,3,2,2,28.481,38.431,38.499,3,1,1,3.767,14.799,14.867,3,2,2,22.747,25.628,25.699,3,1,2,2,,1,2,33,5,4,3,1,1,5,3,4,7,2,Pennsylvania,2,2,1,1,5,2,10000,2,2,2,2,2.326,147.686,147.928,33,1
R_8kLH6RP6AupkNp3,Default Response Set,Anonymous,,,,0,1/8/13 7:00,1/8/13 7:05,1,651710,32,58,1,1,1,8.986,12.129,12.132,3,2,2,52.393,58.033,58.036,3,1,1,11.354,13.889,13.891,3,1,1,21.799,25.335,25.336,4,1,1,1,1,1,2,26,2,3,2,2,4,4,2,5,7,2,Virginia,2,2,1,1,5,5,10000,1,1,1,1,1.963,177.614,177.618,31,1
R_a9PUhBFDBqFTlul,Default Response Set,Anonymous,,,,0,1/8/13 7:05,1/8/13 7:10,1,814247,30,45,1,2,1,5.957,11.087,11.088,4,2,4,9.437,23.363,23.364,3,2,1,7.48,15.49,15.491,5,2,1,10.954,20.917,20.918,3,1,2,2,2,2,1,26,5,2,3,2,0,4,7,5,5,4,New York,2,1,1,2,6,1,"100,000",2,1,2,1,4.579,158.873,158.875,33,1
R_aaz7k5HjOj5YfQx,Default Response Set,Anonymous,,,,0,1/8/13 7:07,1/8/13 7:11,1,4111126,49,83,1,1,2,22.777,29.168,29.175,4,1,2,10.158,58.357,58.363,6,1,2,8.217,12.53,12.545,5,1,2,28.73,31.186,31.199,4,1,1,1,1,1,1,20,5,3,1,2,0,5,8,5,6,2,Kansas,2,2,2,2,7,50,10000,1,1,2,1,2.873,112.065,112.096,46,1
R_0OGKYjF1JmLrkeV,Default Response Set,Anonymous,,,,0,1/8/13 7:14,1/8/13 7:18,1,9662507,75,29,1,1,1,6.105,11.362,11.372,4,2,1,3.542,6.118,6.128,3,1,2,31.269,36.815,36.824,4,2,2,7.86,11.826,11.836,3,1,1,1,1,1,2,32,5,4,3,1,1,6,8,5,6,2,OH,2,2,2,2,8,5,50000,1,1,1,1,2.82,109.029,109.054,32,1
R_5zIQ34zuOIW0m4l,Default Response Set,Anonymous,,,,0,1/8/13 7:10,1/8/13 7:18,1,1282505,74,23,1,1,1,4.614,16.965,16.974,3,2,1,5.914,11.49,11.497,4,1,3,36.966,49.398,49.407,3,2,1,13.19,20.766,20.775,3,1,2,2,,2,1,31,5,2,3,2,0,3,3,5,4,6,Connecticut,2,2,2,2,7,50,100000,1,1,1,1,4.47,387.462,387.473,35,1
R_6eSNDK1LlGDoiiN,Default Response Set,Anonymous,,,,0,1/8/13 7:12,1/8/13 7:19,1,7856925,81,17,1,1,2,18.374,21.007,21.009,3,1,2,20.819,27.747,27.749,3,1,1,12.242,16.443,16.445,3,1,2,40.086,53.512,53.513,3,1,1,1,1,1,2,54,5,2,3,1,2,6,8,5,6,3,Georgia,2,2,2,1,5,12,"200,000",1,1,1,1,2.665,106.851,106.853,29,1
R_3Uhtys2LUl2aaxL,Default Response Set,Anonymous,,,,0,1/8/13 7:15,1/8/13 7:20,1,6541015,58,87,1,1,2,12.164,19.78,19.781,3,2,1,8.474,12.153,12.154,3,1,3,22.167,35.79,35.791,3,2,3,21.559,27.566,27.567,3,1,2,1,2,2,2,52,5,4,3,2,0,3,7,1,4,2,Maryland,2,2,2,2,50,50,1000,1,1,1,2,3.307,125.722,125.723,29,1
